city	city_ascii	province_id	province_name	lat	lng	population	density	timezone	ranking	postal	id	station_names	station_ids
Toronto	Toronto	ON	Ontario	43.7417	-79.3733	5647656.0	4427.8	America/Toronto	1	M5T M5V M5P M5S M5R M5E M5G M5A M5C M5B M5M M5N M5H M5J M4X M4Y M4R M4S M4P M4V M4W M4T M4J M4K M4H M4N M4L M4M M4B M4C M4A M4G M4E M3N M3M M3L M3K M3J M3H M3C M3B M3A M2P M2R M2L M2M M2N M2H M2J M2K M1C M1B M1E M1G M1H M1K M1J M1M M1L M1N M1P M1S M1R M1T M1W M1V M1X M9P M9R M9W M9V M9M M9L M9N M9A M9C M9B M6P M6R M6S M6A M6B M6C M6E M6G M6H M6J M6K M6L M6M M6N M8Z M8X M8Y M8V M8W	1124279679	['TORONTO YORK MILLS', 'TORONTO CASTLEMERE', 'THORNHILL GRANDVIEW', 'TORONTO BERMONDSEY', 'TORONTO BROADWAY', 'TORONTO BRIDLEWOOD', 'TORONTO DEER PARK', 'TORONTO DON MILLS', 'TORONTO DUNN LORING WOOD', 'TORONTO EAST YORK', 'TORONTO GLENDALE', 'TORONTO GLENVIEW', 'TORONTO SENECA HILL', 'TORONTO LEASIDE S', 'TORONTO LESLIE EGLINTON', 'TORONTO LLOYDMINSTER', 'TORONTO NEWTON', 'TORONTO NEWTONBROOK', 'TORONTO NORTHCLIFFE', 'TORONTO STUART AVENUE', 'TORONTO SUNNYBROOK', 'TORONTO VICTORIA', 'TORONTO WEXFORD', 'TORONTO WILLOWDALE', 'TORONTO WILSON HEIGHTS', 'TORONTO EAST YORK DUSTAN']	['615HHDF', '6158M1K', '6158255', '6158385', '61584J2', '6158408', '6158417', '6158420', '6158480', '6158505', '6158550', '6158567', '61587PG', '6158730', '6158732', '6158734', '6158752', '6158753', '6158762', '6158778', '6158779', '6158780', '6158815', '6158830', '6158846', '6158751']
Montréal	Montreal	QC	Quebec	45.5089	-73.5617	3675219.0	4833.5	America/Toronto	1	H1X H1Y H1Z H1P H1R H1S H1T H1V H1W H1H H1J H1K H1L H1M H1N H1A H1B H1C H1E H1G H2Y H2X H2Z H2T H2W H2V H2P H2S H2R H2M H2L H2N H2H H2K H2J H2E H2G H2A H2C H2B H3B H3C H3A H3G H3E H3J H3K H3H H3N H3L H3M H3R H3S H3V H3W H3T H3X H4G H4E H4C H4B H4A H4N H4M H4L H4K H4J H4H H4V H4T H4S H4R H4P H8N H8S H8R H8P H8T H8Z H8Y H9A H9E H9H H9J H9K H9C	1124586170	['MONTREAL ICE CONTROL', 'MONTREAL JAR BOT', 'MONTREAL JEAN BREBEUF', 'MONTREAL LAFONTAINE', 'MONTREAL LOYOLA', 'MONTREAL MCGILL', 'MCTAVISH']	['7025245', '7025257', '7025260', '7025267', '7025270', '7025280', '7024745']
Vancouver	Vancouver	BC	British Columbia	49.25	-123.1	2426160.0	5749.9	America/Vancouver	1	V6Z V6S V6R V6P V6N V6M V6L V6K V6J V6H V6G V6E V6C V6B V6A V5M V5K V5S V5P V5Z V5N V5L V5V V5W V5T V5R V5X V5Y	1124825478	"['VANCOUVER GRANDVIEW N', 'VANCOUVER GRANDVIEW E', 'VANCOUVER KITSILANO BEACH', 'VANCOUVER JERICHO BEACH', 'VANCOUVER WEST 10TH', 'BURNABY SUNCREST', 'BURNABY VANCOUVER HTS', 'N VANCOUVER 2ND NARROWS', 'RICHMOND MCLENNAN ROAD', 'RICHMOND RIVER ROAD EAST', 'VANCOUVER WALES ST', 'VANCOUVER CEDAR COTTAGE', 'VANCOUVER CENTRAL PARK', 'VANCOUVER CITY HALL', 'VANCOUVER DUNBAR', 'VANCOUVER DUNBAR SOUTH', 'VANCOUVER EXHIB PARK', 'VANCOUVER FAIRVIEW', 'VANCOUVER FRASERVIEW', 'VANCOUVER HARBOUR CS', ""VANCOUVER INT'L A"", 'VANCOUVER KERRISDALE', 'VANCOUVER KERRISDALE', 'VANCOUVER KINGCREST', 'VANCOUVER KITSILANO', 'VANCOUVER MARPOLE', 'VANCOUVER MT PLEASANT', 'VANCOUVER OAK 53', 'VANCOUVER OAKRIDGE', 'VANCOUVER PMO', 'VANCOUVER QUILCHENA', 'VANCOUVER RUPERT ST', 'VANCOUVER SOUTHLANDS', 'VANCOUVER SOUTH FRASER', 'VANCOUVER TRAFALGAR PK', 'VANCOUVER HILLCREST', 'VANCOUVER INTL A', ""VANCOUVER INT'L HWOS"", 'VANCOUVER HARBOUR']"	['110HD4N', '110HD45', '110HM5C', '110H447', '110H488', '1101160', '1101166', '1105666', '1106766', '1106770', '1108M87', '1108410', '1108414', '1108430', '1108435', '1108436', '1108440', '1108442', '1108445', '1108446', '1108447', '1108448', '1108449', '1108450', '1108453', '1108455', '1108460', '1108462', '1108463', '1108465', '1108470', '1108471', '1108473', '1108475', '1108482', '1108433', '1108395', '1108425', '110Q44V']
Calgary	Calgary	AB	Alberta	51.05	-114.0667	1306784.0	1592.4	America/Edmonton	1	T1Y T2H T2K T2J T2M T2L T2N T2A T2C T2B T2E T2G T2Y T2X T2Z T2S T2R T2T T2W T2V T3N T3L T3M T3J T3K T3H T3G T3E T3B T3C T3A T3R T3S T3P	1124690423	"['CALGARY BELLEVIEW', 'CALGARY GLENMORE DAM', 'UNIVERSITY OF CALGARY', ""CALGARY INT'L CS"", 'CALGARY ROSSCARROCK', 'CALGARY MARLBOROUGH', 'CALGARY NOSE HILL']"	['3031084', '3031090', '3036652', '3031094', '3031075', '3031076', '3031077']
Edmonton	Edmonton	AB	Alberta	53.5344	-113.4903	1151635.0	1320.4	America/Edmonton	1	T5X T5Y T5Z T5P T5R T5S T5T T5V T5W T5H T5J T5K T5L T5M T5N T5A T5B T5C T5E T5G T6Y T6X T6T T6W T6V T6P T6S T6R T6M T6L T6N T6H T6K T6J T6E T6G T6A T6C T6B	1124290735	['EDMONTON CORONATION', 'UNIVERSITY OF ALBERTA METABOLIC CENTRE', 'EDMONTON', 'EDMONTON CALDER', 'EDMONTON LYNNWOOD', 'EDMONTON CITY CENTRE A', 'EDMONTON PLEASANTVIEW', 'FORT EDMONTON', 'EDMONTON BLATCHFORD', 'EDMONTON CITY CENTRE AWOS', 'EDMONTON SOUTH CAMPUS']	['301BK03', '301FFNJ', '3012195', '3012203', '3012207', '3012208', '3012215', '3012659', '3012209', '3012202', '3012220']
Ottawa	Ottawa	ON	Ontario	45.4247	-75.695	1068821.0	364.9	America/Toronto	1	K4P K4M K4A K4B K4C K7S K1S K1R K1P K1W K1V K1T K1Z K1Y K1X K1C K1B K1A K1G K1E K1K K1J K1H K1N K1M K1L K0A K2R K2S K2P K2V K2W K2T K2J K2K K2H K2L K2M K2B K2C K2A K2G K2E	1124399363	['OTTAWA', 'OTTAWA ALTA VISTA', 'OTTAWA BECKWITH RD', 'OTTAWA CDA', 'OTTAWA CITY HALL', 'OTTAWA HOGS BACK', 'OTTAWA LA SALLE ACAD', 'OTTAWA LEMIEUX ISLAND', 'OTTAWA NEPEAN', 'OTTAWA NRC', 'OTTAWA RIDEAU WARD', 'OTTAWA ROCKCLIFFE A', 'OTTAWA U OF O', 'OTTAWA CDA RCS']	['6105887', '6105913', '6105938', '6105976', '6105980', '6105995', '6106014', '6106052', '6106080', '6106090', '6106098', '6106100', '6106105', '6105978']
Winnipeg	Winnipeg	MB	Manitoba	49.8844	-97.1464	758515.0	1623.3	America/Winnipeg	1	R2N R2M R2L R2K R2J R2H R2G R2C R2Y R2X R2W R2V R2R R2P R3L R3M R3N R3H R3J R3K R3E R3G R3A R3B R3X R3Y R3T R3V R3W R3P R3R R3S	1124224963	"['WINNIPEG HURST RESERVOIR', 'ST BONIFACE BENTWOOD', 'WINNIPEG ANDERSON AVE', 'WINNIPEG ASSINIBOINE PARK', 'WINNIPEG BROOKLANDS', 'WINNIPEG CLARE AVE', 'WINNIPEG E KILDONAN', 'WINNIPEG FLORA AVE', ""WINNIPEG RICHARDSON INT'L A"", 'WINNIPEG PERTH', 'WINNIPEG ST BONIFACE', 'WINNIPEG ST BONIFACE WW', 'WINNIPEG ST JOHNS COLL', 'WINNIPEG SHERBROOK ST', 'WINNIPEG SHERBURN ST', 'WINNIPEG WINDSOR GOLF COURSE', 'WINNIPEG W KILDONAN', 'WINNIPEG HANGARLINE ROAD', 'WINNIPEG PACIFIC AVENUE', 'WINNIPEG THE FORKS', 'WINNIPEG WTC STAPON', 'WINNIPEG FED LAB', 'WINNIPEG RICHARDSON AWOS', 'WINNIPEG INTL A']"	['502C2JM', '5022549', '5023170', '5023174', '5023180', '5023200', '5023210', '5023220', '5023222', '5023228', '5023230', '5023233', '5023243', '5023250', '5023260', '5023274', '5023280', '5023224', '502I002', '5023262', '5023283', '5023284', '5023226', '5023227']
Quebec City	Quebec City	QC	Quebec	46.8139	-71.2081	733156.0	1214.8	America/Toronto	1	G3J G1N G1M G1L G1K G1J G1H G1G G1E G1C G1B G1Y G1X G1W G1V G1T G1S G1R G1P G3E G3G G3K G2G G2E G2B G2C G2A G2N G2L G2M G2J G2K	1124823933	['CHARLESBOURG PARC ORLEAN', 'COURVILLE', 'QUEBEC', 'QUEBEC 2', 'VILLENEUVE', 'ST ROMUALD', 'DOMAINE-DE-MAIZERETS', 'STE-FOY (U. LAVAL)', 'BEAUPORT']	['7011309', '7011950', '7016280', '7016281', '7018762', '7027700', '7012040', '701Q004', '7010565']
Hamilton	Hamilton	ON	Ontario	43.2567	-79.8692	729560.0	509.1	America/Toronto	2	L0R L0P L8W L8V L8T L8S L8R L8P L8G L8E L8B L8N L8M L8L L8K L8J L8H L9G L9A L9B L9C L9H L9K N1R	1124567288	['MT ALBION CONSERVATION', 'ALDERSHOT', 'BURLINGTON SKYWAY', 'HAMILTON', 'HAMILTON GAGE PARK', 'HAMILTON MARINE POLICE', 'HAMILTON PSYCH HOSPITAL', 'HAMILTON RBG', 'BURLINGTON PIERS (AUT)', 'HAMILTON RBG CS', 'SOUTHERN ONTARIO EMERGENCY PORTABLE WEATHER STATION']	['615E498', '6150135', '6151063', '6153192', '6153238', '6153264', '6153298', '6153300', '6151061', '6153301', '615S002']
Mississauga	Mississauga	ON	Ontario	43.6	-79.65	717961.0	2452.5	America/Toronto	2	L4W L4V L4T L4Z L4Y L4X L5R L5S L5T L5V L5W L5A L5B L5C L5E L5G L5H L5J L5K L5L L5M L5N	1124112672	['BRODDYTOWN', 'BURNHAMTHORPE', 'ERINDALE', 'HANLON', 'LAKEVIEW MOE', 'MISSISSAUGA', 'PORT CREDIT', 'STREETSVILLE OWRC', 'TOR OLD BURNHAMTHORPE', 'TORONTO BURNHAMTHORPE']	['6150997', '6151065', '6152335', '6153325', '6154310', '6155BA0', '6156609', '6158140', '6158763', '6158411']
Brampton	Brampton	ON	Ontario	43.6833	-79.7667	656480.0	2469.0	America/Toronto	2	L7A L6T L6W L6V L6P L6S L6R L6Y L6X L6Z	1124625989	['BRAMALEA', 'BRAMPTON', 'BRAMPTON MOE', 'HEART LAKE', 'HUTTONVILLE', 'NORVAL']	['6150898', '6150913', '6150916', '6153410', '6153676', '6155713']
Surrey	Surrey	BC	British Columbia	49.19	-122.8489	568322.0	1797.9	America/Vancouver	2	V4A V4N V4P V3R V3S V3W V3T V3V V3X V3Z	1124001454	['PORT COQUITLAM MARY HILL', 'SURREY GUILDFORD', 'ANNACIS ISLAND', 'BURNABY CARIBOO DAM', 'BURNABY EAST', 'BURQUITLAM VANCOUVER GOLF COURSE', 'COQUITLAM MUNDY PARK', 'DELTA ANNIEVILLE', 'ESSONDALE', 'NEW WESTMINSTER', 'NEW WESTMINSTER BC PEN', 'NEW WESTM QUEENS PARK', 'NEW WESTMINSTER WEST', 'SURREY 99A AVE', 'SURREY 104 AVE 164 ST', 'SURREY BRIDGEVIEW', 'SURREY KWANTLEN PARK', 'SURREY NEWTON', 'WHALLEY BALL PARK', 'WHALLEY BOLIVAR CRESCENT', 'WHALLEY FOREST NURSERY', 'WHALLEY HILTON ROAD', 'SURREY TYNEHEAD B', 'SURREY FLEETWOOD']	['110FKNF', '110GQPB', '1100440', '11011MF', '1101150', '1101200', '1101891', '1102410', '1102725', '1105550', '1105553', '1105560', '1105570', '1107H7H', '1107QP8', '11078GK', '1107873', '1107878', '1108885', '1108886', '1108890', '1108892', '1107H79', '110S001']
Kitchener	Kitchener	ON	Ontario	43.4186	-80.4728	522888.0	1877.6	America/Toronto	1	N2K N2H N2N N2M N2C N2B N2A N2G N2E N2R N2P	1124158530	['DOON', 'KITCHENER', 'KITCHENER CITY ENG 1', 'KITCHENER CITY ENG 2', 'KITCHENER OWRC', 'PRESTON', 'WATERLOO FIRE HALL']	['6142065', '6144232', '6144240', '6144241', '6144245', '6146711', '6149380']
Halifax	Halifax	NS	Nova Scotia	44.6475	-63.5906	439819.0	80.3	America/Halifax	1	B2Z B2Y B2X B2W B2V B2T B2S B2R B3Z B3T B3V B3P B3R B3S B3L B3M B3N B3H B3J B3K B3E B3G B3A B3B B0J B0N B4E B4G B4A B4C B4B	1124130981	['CHAIN LAKE', 'DARTMOUTH', 'HALIFAX', 'HALIFAX', 'HALIFAX CITADEL', 'SPRYFIELD', 'WESTPHAL', 'MCNABS ISLAND (AUT)', 'SHEARWATER JETTY', 'SHEARWATER AUTO', 'HALIFAX KOOTENAY', 'HALIFAX WINDSOR PARK', 'HALIFAX DOCKYARD', 'BEDFORD BASIN', 'SHEARWATER RCS']	['8200800', '8201292', '8202198', '8202200', '8202220', '8205315', '8206250', '8203478', '8205093', '8205091', '8202252', '8202255', '8202240', '8200573', '8205092']
Laval	Laval	QC	Quebec	45.5833	-73.75	438366.0	1781.0	America/Toronto	2	H7N H7L H7M H7J H7K H7H H7G H7E H7B H7C H7A H7X H7Y H7V H7W H7T H7R H7S H7P	1124922301	['FABREVILLE', 'DUVERNAY', 'LAVAL DES RAPIDES', 'MONTREAL PERSILLIER']	['702BL09', '7022250', '7024256', '7025315']
London	London	ON	Ontario	42.9836	-81.2497	423369.0	1004.3	America/Toronto	2	N5Z N5X N5Y N5V N5W N6P N6G N6E N6C N6B N6A N6N N6M N6L N6K N6H N6J	1124469960	['LONDON', 'LONDON LAMBETH A', 'LONDON SHARON DRIVE', 'LONDON SOUTH', 'WESTMINSTER']	['6144470', '6144481', '6144500', '6144505', '6149454']
Victoria	Victoria	BC	British Columbia	48.4283	-123.3647	363222.0	4722.3	America/Vancouver	1	V9A V8T V8W V8V V8S V8R	1124147219	['VICTORIA PORTAGE INLET', 'VICTORIA WILLOWS PARK', 'VICTORIA WEST', 'VICTORIA SHORT STREET', 'VICTORIA SHELBOURNE', 'VICTORIA PRINCESS AVE', 'ESQUIMALT', 'ESQUIMALT HARBOUR', 'VICTORIA U VIC', 'VICTORIA AMROTH PLACE', 'VICTORIA BAY STREET', 'VICTORIA FRANCIS PARK', 'VICTORIA GONZALES HTS', 'VICTORIA GONZALES CS', 'VICTORIA GORDON HEAD', 'VICTORIA HOLLAND 2', 'VICTORIA JUBILEE', 'VICTORIA LANSDOWNE', 'VICTORIA MUSGRAVE STREET', 'VICTORIA NORTH DAIRY RD', 'VICTORIA NORTHRIDGE', 'VICTORIA ROWLEY ROAD', 'VICTORIA SINCLAIR ROAD', 'VICTORIA TILLICUM', 'VICTORIA UNIVERSITY CS', 'VICTORIA HARBOUR A', 'TRIAL ISLAND', 'VICTORIA HARBOUR A', 'VICTORIA HARBOUR A']	['101HFNE', '101HF66', '101H6FF', '101QFEG', '101QF57', '101Q655', '1012700', '1012710', '1018FF6', '1018590', '1018595', '1018605', '1018610', '1018611', '1018614', '1018617', '1018629', '1018640', '1018644', '1018648', '1018651', '1018657', '1018658', '1018660', '1018598', '1018615', '1018238', '1018619', '1018633']
Markham	Markham	ON	Ontario	43.8767	-79.2633	338503.0	1604.8	America/Toronto	2	L3T L3R L3P L3S L6E L6G L6C L6B	1124272698	['GREEN RIVER', 'MARKHAM', 'MARKHAM 2', 'MARKHAM MTRCA', 'MARKHAM MOE', 'MARKHAM WATERWORKS', 'TORONTO METRO ZOO', 'TORONTO NASHDENE', 'UNIONVILLE', 'UNIONVILLE OWRC']	['6153011', '6154987', '6154988', '6154990', '6154992', '6154994', '6158741', '6158748', '6159058', '6159060']
Oshawa	Oshawa	ON	Ontario	43.9	-78.85	335949.0	1203.6	America/Toronto	2	L1L L1H L1J L1K L1G	1124541904	['OSHAWA', 'OSHAWA FIRE HALL #3', 'OSHAWA WPCP', 'WHITBY PRINGLE CREEK', 'WHITBY MUELLER', 'OSHAWA']	['6155876', '6155877', '6155878', '6155874', '6155870', '6155875']
Vaughan	Vaughan	ON	Ontario	43.8333	-79.5	323103.0	1185.9	America/Toronto	2	L0J L3L L4K L4J L4H L4L L6A	1124000141	['EDGELEY', 'MAPLE', 'MAPLE SHERWOOD EAST', 'PINE GROVE', 'RICHMOND HILL', 'RICHMOND HILL WPCP', 'THORNHILL GRANDVIEW', 'TORONTO MET RES STN', 'TORONTO NEWTON', 'TORONTO NEWTONBROOK', 'TORONTO NORTH YORK']	['6152235', '6154950', '6154951', '6156545', '6157012', '6157014', '6158255', '6158740', '6158752', '6158753', '615S001']
Windsor	Windsor	ON	Ontario	42.2833	-83.0	306519.0	1572.8	America/Toronto	2	N8T N8W N8P N8S N8R N8Y N8X N9J N9B N9C N9A N9G N9E N0R	1124261024	['WINDSOR RIVERSIDE', 'WINDSOR A', 'WINDSOR FORD PLANT', 'WINDSOR SOUTH', 'WINDSOR UNIVERSITY', 'WINDSOR A', 'WINDSOR A']	['6139520', '6139525', '6139533', '6139535', '6139538', '6139527', '6139530']
